folder	repo	path	status
openclaudia-skills-ab-test-setup	OpenClaudia/openclaudia-skills	skills/ab-test-setup/SKILL.md	ok
affiliate-marketing	OpenClaudia/openclaudia-skills	skills/affiliate-marketing/SKILL.md	ok
ahrefs-research	OpenClaudia/openclaudia-skills	skills/ahrefs-research/SKILL.md	ok
ai-image-gen	OpenClaudia/openclaudia-skills	skills/ai-image-gen/SKILL.md	ok
apollo-outreach	OpenClaudia/openclaudia-skills	skills/apollo-outreach/SKILL.md	ok
backlink-audit	OpenClaudia/openclaudia-skills	skills/backlink-audit/SKILL.md	ok
bluesky	OpenClaudia/openclaudia-skills	skills/bluesky/SKILL.md	ok
brand-monitor	OpenClaudia/openclaudia-skills	skills/brand-monitor/SKILL.md	ok
brand-research	OpenClaudia/openclaudia-skills	skills/brand-research/SKILL.md	ok
competitor-analysis	OpenClaudia/openclaudia-skills	skills/competitor-analysis/SKILL.md	ok
content-calendar	OpenClaudia/openclaudia-skills	skills/content-calendar/SKILL.md	ok
content-gap-analysis	OpenClaudia/openclaudia-skills	skills/content-gap-analysis/SKILL.md	ok
content-repurposing	OpenClaudia/openclaudia-skills	skills/content-repurposing/SKILL.md	ok
openclaudia-skills-content-strategy	OpenClaudia/openclaudia-skills	skills/content-strategy/SKILL.md	ok
openclaudia-skills-copy-editing	OpenClaudia/openclaudia-skills	skills/copy-editing/SKILL.md	ok
openclaudia-skills-copywriting	OpenClaudia/openclaudia-skills	skills/copywriting/SKILL.md	ok
demand-gen	OpenClaudia/openclaudia-skills	skills/demand-gen/SKILL.md	ok
discord-bot	OpenClaudia/openclaudia-skills	skills/discord-bot/SKILL.md	ok
domain-research	OpenClaudia/openclaudia-skills	skills/domain-research/SKILL.md	ok
openclaudia-skills-email-sequence	OpenClaudia/openclaudia-skills	skills/email-sequence/SKILL.md	ok
email-subject-lines	OpenClaudia/openclaudia-skills	skills/email-subject-lines/SKILL.md	ok
facebook-ads	OpenClaudia/openclaudia-skills	skills/facebook-ads/SKILL.md	ok
feishu-lark	OpenClaudia/openclaudia-skills	skills/feishu-lark/SKILL.md	ok
geo-query-finder	OpenClaudia/openclaudia-skills	skills/geo-query-finder/SKILL.md	ok
google-ads-report	OpenClaudia/openclaudia-skills	skills/google-ads-report/SKILL.md	ok
google-ads	OpenClaudia/openclaudia-skills	skills/google-ads/SKILL.md	ok
